table,operation,positive_ratio,rw,pbs,sbs,0.5,0.6,0.7,0.75,0.8,0.85,0.9,0.95,1
iceberg,havi,,16,  8,  4, 1.907712, 2.283520, 2.632704, 2.824704, 2.996224, 3.182080, 3.346432, 3.527248, 3.699232
iceberg,havi,,16,  8,  4, 1.911808, 2.279424, 2.638848, 2.827952, 3.005024, 3.175552, 3.350016, 3.521024, 3.706368
iceberg,havi,,16,  8,  4, 1.904688, 2.286592, 2.583568, 2.765312, 2.933760, 3.119616, 3.276288, 3.453952, 3.625984
iceberg,havi,,16,  8,  4, 1.881776, 2.234544, 2.588672, 2.759680, 2.942464, 3.110064, 3.287040, 3.450368, 3.633664
iceberg,havi,,16,  8,  4, 1.870512, 2.242048, 2.580480, 2.771456, 2.939024, 3.093120, 3.248128, 3.421696, 3.590144
iceberg,havi,,16,  8,  4, 1.864192, 2.213376, 2.564096, 2.732544, 2.915840, 3.083776, 3.255296, 3.412480, 3.595776
iceberg,havi,,16,  8,  4, 1.854112, 2.223312, 2.554368, 2.744512, 2.908672, 3.090432, 3.245056, 3.424768, 3.589696
iceberg,havi,,16,  8,  4, 1.862624, 2.211840, 2.561024, 2.737152, 2.917376, 3.079680, 3.253248, 3.415552, 3.598336
iceberg,havi,,16,  8,  4, 1.854976, 2.221248, 2.556928, 2.740224, 2.909696, 3.094064, 3.244720, 3.421696, 3.590352
iceberg,havi,,16,  8,  4, 1.862144, 2.214624, 2.563584, 2.737664, 2.916352, 3.080704, 3.251200, 3.412032, 3.597856
iceberg,havi,,32,  8,  4, 2.181632, 2.601008, 2.974720, 3.193504, 3.390976, 3.605504, 3.763840, 3.939504, 4.127744
iceberg,havi,,32,  8,  4, 2.186240, 2.599520, 2.982400, 3.179152, 3.404288, 3.605504, 3.768480, 3.933696, 4.135504
iceberg,havi,,32,  8,  4, 2.183856, 2.594432, 2.978816, 3.193024, 3.395072, 3.605184, 3.763712, 3.944448, 4.133392
iceberg,havi,,32,  8,  4, 2.181408, 2.597968, 2.981888, 3.180032, 3.399168, 3.601920, 3.767808, 3.930112, 4.133888
iceberg,havi,,32,  8,  4, 2.182656, 2.604032, 2.976768, 3.188736, 3.394560, 3.605504, 3.762320, 3.939904, 4.130304
iceberg,havi,,32,  8,  4, 2.183168, 2.596864, 2.980352, 3.178688, 3.403440, 3.601600, 3.763344, 3.937984, 4.138624
iceberg,havi,,32,  8,  4, 2.181632, 2.604752, 2.978304, 3.184656, 3.398816, 3.602048, 3.760832, 3.940352, 4.126208
iceberg,havi,,32,  8,  4, 2.181152, 2.603008, 2.979328, 3.179552, 3.404480, 3.596016, 3.767296, 3.932672, 4.139040
iceberg,havi,,32,  8,  4, 2.177632, 2.600624, 2.974720, 3.184128, 3.394560, 3.605504, 3.764768, 3.944144, 4.134912
iceberg,havi,,32,  8,  4, 2.189824, 2.598016, 2.982912, 3.182864, 3.405312, 3.601408, 3.770544, 3.937792, 4.139008
cuckoo,havi,,32,  8,  0, 15.340656, 18.365585, 21.401712, 22.961151, 24.412750, 25.977345, 27.473919, 28.994049, 30.521904
cuckoo,havi,,32,  8,  0, 15.358976, 18.358576, 21.430271, 22.962688, 24.410112, 25.993216, 27.474512, 29.014528, 30.551041
cuckoo,havi,,32,  8,  0, 15.354879, 18.387968, 21.443855, 22.967808, 24.447968, 26.006607, 27.473919, 28.989567, 30.537376
cuckoo,havi,,32,  8,  0, 15.357424, 18.365505, 21.388800, 22.981121, 24.427872, 25.998367, 27.474945, 29.144064, 30.523344
cuckoo,havi,,32,  8,  0, 15.366656, 18.378241, 21.403889, 22.941200, 24.414848, 26.015938, 27.472897, 29.029503, 30.552113
cuckoo,havi,,32,  8,  0, 15.350960, 18.408096, 21.449760, 22.947376, 24.451073, 26.019329, 27.470448, 28.988928, 30.534447
cuckoo,havi,,32,  8,  0, 15.344641, 18.372128, 21.386433, 22.981121, 24.435200, 26.002432, 27.456863, 29.012928, 30.514175
cuckoo,havi,,32,  8,  0, 15.360544, 18.365007, 21.421568, 22.956032, 24.433777, 25.981600, 27.458111, 29.005905, 30.566399
cuckoo,havi,,32,  8,  0, 15.359488, 18.369535, 21.444721, 22.952448, 24.451712, 25.973248, 27.472383, 29.004288, 30.558720
cuckoo,havi,,32,  8,  0, 15.344128, 18.359455, 21.413216, 22.974976, 24.418400, 25.980415, 27.493378, 29.025280, 30.457344
iceberg,havi,,64,  8,  4, 2.139648, 2.550784, 2.945024, 3.152896, 3.358400, 3.559424, 3.758592, 3.885616, 4.074096
iceberg,havi,,64,  8,  4, 2.116176, 2.524672, 2.912304, 3.119632, 3.323056, 3.521536, 3.714112, 3.890176, 4.066304
iceberg,havi,,64,  8,  4, 2.111488, 2.521088, 2.906112, 3.112960, 3.314176, 3.513856, 3.709440, 3.881472, 4.069376
iceberg,havi,,64,  8,  4, 2.112096, 2.520576, 2.905264, 3.110912, 3.312144, 3.521024, 3.705456, 3.879936, 4.067440
iceberg,havi,,64,  8,  4, 2.112000, 2.522112, 2.907648, 3.112448, 3.313712, 3.513856, 3.706432, 3.879424, 4.066352
iceberg,havi,,64,  8,  4, 2.114256, 2.518560, 2.903264, 3.113984, 3.314176, 3.517440, 3.709440, 3.879552, 4.067840
iceberg,havi,,64,  8,  4, 2.112512, 2.521600, 2.907152, 3.113984, 3.314176, 3.517504, 3.707392, 3.881472, 4.065792
iceberg,havi,,64,  8,  4, 2.110992, 2.520576, 2.907648, 3.113984, 3.315392, 3.511440, 3.706880, 3.876464, 4.065888
iceberg,havi,,64,  8,  4, 2.112512, 2.521136, 2.907792, 3.112448, 3.317792, 3.513952, 3.705856, 3.879568, 4.069888
iceberg,havi,,64,  8,  4, 2.112512, 2.519040, 2.906112, 3.110912, 3.313744, 3.516048, 3.709440, 3.875440, 4.067328
cuckoo,havi,,64,  8,  0, 15.674480, 18.782896, 21.857376, 23.418175, 24.926384, 26.537521, 28.036608, 29.565008, 31.129601
cuckoo,havi,,64,  8,  0, 15.671295, 18.767361, 21.939713, 23.422976, 24.948736, 26.515455, 28.062208, 29.584385, 31.138304
cuckoo,havi,,64,  8,  0, 15.678464, 18.800640, 21.857952, 23.424015, 24.960512, 26.544304, 28.047871, 29.581249, 31.129089
cuckoo,havi,,64,  8,  0, 15.673856, 18.766960, 21.928736, 23.423023, 24.954880, 26.526720, 28.045967, 29.601360, 31.128080
cuckoo,havi,,64,  8,  0, 15.674016, 18.785280, 21.878784, 23.419567, 24.933887, 26.535936, 28.050432, 29.577217, 31.235073
cuckoo,havi,,64,  8,  0, 15.663696, 18.774529, 21.923840, 23.444481, 24.935936, 26.552320, 28.072113, 29.574142, 31.120384
cuckoo,havi,,64,  8,  0, 15.675904, 18.792448, 21.877760, 23.421440, 24.954880, 26.530336, 28.043264, 29.579777, 31.144958
cuckoo,havi,,64,  8,  0, 15.659679, 18.776577, 21.934080, 23.414833, 24.952320, 26.502672, 28.062912, 29.614079, 31.122576
cuckoo,havi,,64,  8,  0, 15.670321, 18.793072, 21.881855, 23.435265, 24.949760, 26.527233, 28.044800, 29.586945, 31.124128
cuckoo,havi,,64,  8,  0, 15.668224, 18.783871, 21.920256, 23.432192, 24.956417, 26.536449, 28.075008, 29.594112, 31.119024
iceberg,havi,,16, 16,  8, 2.651776, 3.165696, 3.668992, 3.898880, 4.165632, 4.403712, 4.669952, 4.902400, 5.185024
iceberg,havi,,16, 16,  8, 2.633728, 3.146256, 3.643984, 3.881072, 4.084736, 4.348416, 4.575232, 4.843040, 5.071872
iceberg,havi,,16, 16,  8, 2.597984, 3.089920, 3.595264, 3.832832, 4.094976, 4.334208, 4.580864, 4.729344, 5.002752
iceberg,havi,,16, 16,  8, 2.547376, 3.038720, 3.515392, 3.770464, 4.003504, 4.264000, 4.491904, 4.750336, 4.977152
iceberg,havi,,16, 16,  8, 2.553344, 3.034624, 3.528704, 3.759104, 4.016304, 4.250112, 4.508160, 4.730960, 5.003264
iceberg,havi,,16, 16,  8, 2.542080, 3.039808, 3.514880, 3.767808, 4.005632, 4.408400, 4.490384, 4.749824, 4.974080
iceberg,havi,,16, 16,  8, 2.549248, 3.033088, 3.525632, 3.762176, 4.018688, 4.250304, 4.505744, 4.728320, 5.004288
iceberg,havi,,16, 16,  8, 2.541568, 3.037696, 3.515904, 3.773472, 4.005952, 4.262912, 4.483152, 4.748800, 4.970880
iceberg,havi,,16, 16,  8, 2.548816, 3.034624, 3.526784, 3.761664, 4.013760, 4.249104, 4.504576, 4.727824, 5.006336
iceberg,havi,,16, 16,  8, 2.543776, 3.036160, 3.515040, 3.769888, 4.001792, 4.264144, 4.487696, 4.749504, 4.973056
iceberg,havi,,32, 16,  8, 2.508288, 2.989568, 3.460096, 3.702784, 3.935344, 4.178048, 4.411392, 4.639744, 4.876128
