## Benchmark with 150994944 rows (2^27 primary, 2^24 secondary)
## Keys (expected to be unique) taken from keys.bin
# p_log_entries = 27
# s_log_entries = 24
###
table,operation,positive_ratio,rw,pbs,sbs,0.5,0.6,0.7,0.75,0.8,0.85,0.9,0.95
iceberg,find,   0,16,  8,  4, 11.056684, 12.684288, nan, nan, nan, nan, nan, nan
iceberg,find, 0.5,16,  8,  4, 10.179949, 10.993664, nan, nan, nan, nan, nan, nan
iceberg,find,0.75,16,  8,  4, 9.738649, 10.145792, nan, nan, nan, nan, nan, nan
iceberg,find,   1,16,  8,  4, 9.298803, 9.297305, nan, nan, nan, nan, nan, nan
iceberg,find,   0,16,  8,  4, 11.061248, 12.692071, 14.580595, nan, nan, nan, nan, nan
iceberg,find, 0.5,16,  8,  4, 10.180761, 10.999148, 11.962778, nan, nan, nan, nan, nan
iceberg,find,0.75,16,  8,  4, 9.740698, 10.149274, 10.696154, nan, nan, nan, nan, nan
iceberg,find,   1,16,  8,  4, 9.299764, 9.298738, 9.316717, nan, nan, nan, nan, nan
iceberg,find,   0,16,  8,  4, 11.057562, 12.688416, 14.577664, nan, nan, nan, nan, nan
iceberg,find, 0.5,16,  8,  4, 10.180223, 10.996326, 11.959091, nan, nan, nan, nan, nan
iceberg,find,0.75,16,  8,  4, 9.740748, 10.148250, 10.639975, nan, nan, nan, nan, nan
iceberg,find,   1,16,  8,  4, 9.298738, 9.297843, 9.316109, nan, nan, nan, nan, nan
iceberg,find,   0,16,  8,  4, 11.058247, 12.687975, 14.576845, nan, nan, nan, nan, nan
iceberg,find, 0.5,16,  8,  4, 10.179994, 10.994893, 11.960550, nan, nan, nan, nan, nan
iceberg,find,0.75,16,  8,  4, 9.738240, 10.148307, 10.638336, nan, nan, nan, nan, nan
iceberg,find,   1,16,  8,  4, 9.297715, 9.297305, 9.314367, nan, nan, nan, nan, nan
iceberg,find,   0,16,  8,  4, 11.058790, 12.685869, 14.579712, nan, nan, nan, nan, nan
iceberg,find, 0.5,16,  8,  4, 10.178369, 10.992435, 11.957862, nan, nan, nan, nan, nan
iceberg,find,0.75,16,  8,  4, 9.738854, 10.145587, 10.637926, nan, nan, nan, nan, nan
iceberg,find,   1,16,  8,  4, 9.295668, 9.298738, 9.313689, nan, nan, nan, nan, nan
iceberg,find,   0,16,  8,  4, 11.060019, 12.687360, 14.579712, nan, nan, nan, nan, nan
iceberg,find, 0.5,16,  8,  4, 10.181894, 10.997991, 11.962164, nan, nan, nan, nan, nan
iceberg,find,0.75,16,  8,  4, 9.741529, 10.148045, 10.641613, nan, nan, nan, nan, nan
iceberg,find,   1,16,  8,  4, 9.298124, 9.298738, 9.315533, nan, nan, nan, nan, nan
iceberg,find,   0,16,  8,  4, 11.054080, 12.682086, nan, nan, nan, nan, nan, nan
